# Name,NameZh,Type,RAh,RAm,RAs,DecD,DecM,DecS,Mag,DistLY
M49,室女座星系,Galaxy,12,29,46.7,7,59,52,9.40,56000000
M50,疏散星团,OpenCluster,7,2,48.0,-8,3,0,5.90,2900
M51,涡状星系,Galaxy,13,29,52.7,47,11,43,8.40,23000000
M52,疏散星团,OpenCluster,23,24,48.0,61,35,0,6.90,5000
M53,球状星团,GlobularCluster,13,12,55.2,18,10,55,7.60,58000
M54,球状星团,GlobularCluster,18,55,3.3,-30,28,48,7.60,87400
M55,球状星团,GlobularCluster,19,39,59.7,-30,57,44,6.30,17600
M56,球状星团,GlobularCluster,19,16,35.5,30,11,4,8.30,32900
M57,指环星云,PlanetaryNebula,18,53,35.1,33,1,45,8.80,2300
M58,室女座星系,Galaxy,12,37,43.5,11,49,5,9.67,68000000
M59,室女座星系,Galaxy,12,42,2.7,11,38,42,9.77,60000000
M60,室女座星系,Galaxy,12,43,39.9,11,33,9,8.80,55000000
M61,室女座星系,Galaxy,12,21,54.9,4,28,25,9.65,60000000
M62,球状星团,GlobularCluster,17,1,12.6,-30,6,45,6.52,22500
M63,向日葵星系,Galaxy,13,15,49.3,42,1,45,8.60,37000000
M64,黑眼星系,Galaxy,12,56,43.7,21,40,58,8.52,17000000
M65,狮子座星系,Galaxy,11,18,55.9,13,5,32,9.30,35000000
M66,狮子座星系,Galaxy,11,20,15.1,12,59,30,8.90,35000000
M67,疏散星团,OpenCluster,8,50,24.0,11,49,0,6.10,2700
M68,球状星团,GlobularCluster,12,39,28.0,-26,44,38,7.80,33600
M69,球状星团,GlobularCluster,18,31,23.1,-32,20,53,7.60,29700
M70,球状星团,GlobularCluster,18,43,12.6,-32,17,30,7.90,29400
M71,球状星团,GlobularCluster,19,53,46.5,18,46,42,8.20,13000
M72,球状星团,GlobularCluster,20,53,27.9,-12,32,14,9.30,53000
M73,疏散星团,OpenCluster,20,58,54.0,-12,38,0,8.90,2000
M75,球状星团,GlobularCluster,20,6,4.6,-21,55,16,8.50,67500
M76,小哑铃星云,PlanetaryNebula,1,42,19.7,51,34,31,10.10,3400
M77,鲸鱼座星系,Galaxy,2,42,40.8,-0,0,48,8.87,47000000
M78,反射星云,Nebula,5,46,46.7,0,3,37,8.30,1600
M79,球状星团,GlobularCluster,5,24,10.6,-24,31,27,7.70,42000
M80,球状星团,GlobularCluster,16,17,2.4,-22,58,30,7.30,32600
M81,波德星系,Galaxy,9,55,33.2,69,3,55,6.94,11840000
M82,雪茄星系,Galaxy,9,55,52.7,69,40,47,8.41,11840000
M83,南风车星系,Galaxy,13,37,0.2,-29,51,57,7.54,15000000
M84,室女座星系,Galaxy,12,25,3.7,12,53,13,9.10,60000000
M85,室女座星系,Galaxy,12,25,24.1,18,11,28,9.14,60000000
M86,室女座星系,Galaxy,12,26,11.8,12,56,44,8.87,52000000
M87,室女座A星系,Galaxy,12,30,49.4,12,23,28,9.59,53000000
M88,室女座星系,Galaxy,12,25,47.0,14,25,13,9.56,47000000
M89,室女座星系,Galaxy,12,35,39.8,12,33,23,9.77,50000000
M90,室女座星系,Galaxy,12,35,7.0,13,9,46,9.53,58000000
M91,室女座星系,Galaxy,12,35,26.4,14,30,5,10.00,55000000
M92,球状星团,GlobularCluster,17,17,7.3,43,8,12,6.44,26700
M93,疏散星团,OpenCluster,7,44,24.0,-23,52,0,6.00,3600
M94,鳄鱼眼星系,Galaxy,12,50,53.0,41,7,14,8.00,16000000
M95,狮子座星系,Galaxy,10,43,57.7,11,42,14,9.70,33000000
M96,狮子座星系,Galaxy,10,46,45.7,11,49,12,9.20,38000000
M97,猫头鹰星云,PlanetaryNebula,11,14,47.7,55,1,12,9.90,2600
M98,后发座星系,Galaxy,12,13,48.3,14,54,1,10.10,44000000
M99,后发座星系,Galaxy,12,18,49.6,14,24,59,9.80,45000000
M100,后发座星系,Galaxy,12,22,54.9,15,49,21,9.30,55000000
M101,风车星系,Galaxy,14,3,12.6,54,20,57,7.86,20900000
M102,透镜星系,Galaxy,15,6,30.0,55,45,48,9.90,50000000
M103,疏散星团,OpenCluster,1,33,24.0,60,39,0,7.40,8500
M104,草帽星系,Galaxy,12,40,0.0,-11,37,23,8.98,29300000
M105,狮子座星系,Galaxy,10,47,49.6,12,35,12,9.30,32000000
M106,猎犬座星系,Galaxy,12,18,57.5,47,18,14,8.30,25000000
M107,球状星团,GlobularCluster,16,32,31.9,-13,3,53,7.90,20900
M108,大熊座星系,Galaxy,11,11,31.2,55,40,27,10.00,45000000
M109,大熊座星系,Galaxy,11,57,36.0,53,22,28,9.80,55000000
M110,椭圆星系,Galaxy,0,40,22.1,41,41,7,8.00,2690000
