# Name,NameZh,RAh,RAm,RAs,DecD,DecM,DecS,DistLY,Mag,BV
Decrux,十字架四,12,15,8.0,-60,26,40,360,2.79,-0.1
KausMedia,斗宿二,18,20,59.7,-29,49,41,306,2.7,-0.03
KausBorealis,斗宿六,18,47,1.9,-25,25,3,78,2.81,1.01
Alnasl,斗宿一,18,5,1.3,-30,25,26,96,2.98,1.01
Polis,斗宿三,18,3,38.4,-27,40,14,3800,3.31,-0.05
Helvetios,天棓五,22,31,3.5,41,0,14,44,5.64,0.82
Atria,孔雀十一,16,48,12.0,-69,1,0,419,1.91,1.48
Peacock,孔雀十一,20,25,38.9,-56,44,6,179,1.94,-0.2
Yildun,勾陈二,17,37,19.0,86,35,11,183,4.36,0.04
Edasich,紫微右垣一,13,9,47.3,61,8,15,330,3.31,1.51
Kuma,天棓增一,18,21,18.7,59,22,38,460,4.35,0.26
Alya,天市左垣七,18,56,6.3,4,7,54,260,4.63,0.16
